"Date","Sigma2","Sigma"
2010-04-09,0.000799617967740758,0.0159959626878998
2010-04-12,0.000801814176029677,0.015712422978376
2010-04-13,0.000776552164906636,0.0158567675590787
2010-04-14,0.000780287151732107,0.0158223931308885
2010-04-15,0.000784403416688123,0.0154495089360421
2010-04-16,0.00077540853021122,0.0156972608793729
2010-04-19,0.000771319477275699,0.0162411283209606
2010-04-20,0.000773478621644213,0.016011002692257
2010-04-21,0.000775605302694342,0.0171537967868133
2010-04-22,0.000930255700220357,0.0180474651089408
2010-04-23,0.000820116244026257,0.0184078466986529
2010-04-26,0.000939045829965658,0.018892111997268
2010-04-27,0.000892086987225745,0.0179539508710853
2010-04-28,0.000809624266711793,0.0179350707187874
2010-04-29,0.000851518078290312,0.0179638300463976
2010-04-30,0.000858602594289143,0.017424834473601
2010-05-03,0.000801489749223805,0.0200201930713067
2010-05-04,0.00113990209425405,0.0217469968373027
2010-05-05,0.000896384512059668,0.0206904601841176
2010-05-06,0.000803518182261968,0.0199198350913376
2010-05-07,0.000987722915649801,0.0193281878932473
2010-05-10,0.000857632734454668,0.0187480999247285
2010-05-11,0.000858541253333037,0.0222442658848341
2010-05-12,0.00205002725038361,0.0251987842911757
2010-05-13,0.00110543261269133,0.0245687562487552
2010-05-14,0.00109930983362237,0.0239263669286775
2010-05-17,0.00153256209979971,0.0230227001518294
2010-05-18,0.00105155899194672,0.0221583711621489
2010-05-19,0.00102160336410984,0.021095808243691
2010-05-20,0.00118426897673892,0.0205336976723488
2010-05-21,0.000981249669439464,0.0217306196416005
2010-05-24,0.00108587407741585,0.0226155034095145
2010-05-25,0.00101769947060161,0.0217638865494598
2010-05-26,0.000902889695808852,0.0209624939708052
2010-05-27,0.000973883046277363,0.0204071996371493
2010-05-28,0.000913134330601853,0.0219572135426968
2010-06-01,0.00114495744230108,0.0226234730254766
2010-06-02,0.00094742360406969,0.0211091147776569
2010-06-03,0.000856118213072134,0.0206888689368766
2010-06-04,0.000956500965556802,0.0203933838846051
2010-06-07,0.000927546511310819,0.0218131097562374
2010-06-08,0.00123039354306154,0.023529848914736
2010-06-09,0.000935987184596015,0.0224213323942668
2010-06-10,0.000861590702152492,0.0211148073143733
2010-06-11,0.00103211501402858,0.0212229627947599
2010-06-14,0.000950040288255484,0.0211792958620062
2010-06-15,0.000879207791690557,0.0198231921105482
2010-06-16,0.000907243195170425,0.019634454933829
2010-06-17,0.000875510045889091,0.0195269981189951
2010-06-18,0.000867538057856262,0.0190001660581478
2010-06-21,0.000851414474797709,0.0188508247258917
2010-06-22,0.000838662576046812,0.0183139881146255
2010-06-23,0.000820327325637888,0.0178340392290294
2010-06-24,0.000943567944656176,0.0256742090687818
2010-06-25,0.003596926497893,0.0309273428486555
2010-06-28,0.00161914988055612,0.0287993682680278
2010-06-29,0.00112232697413592,0.029011309209707
2010-06-30,0.00246854764733058,0.0339595726153987
2010-07-01,0.00269710869828327,0.0365242647543508
2010-07-02,0.00137971263632355,0.0340196206215805
2010-07-06,0.00176632050838675,0.0312611224090494
2010-07-07,0.00207444408115099,0.0291558384039709
